track_id,name,artists,album,duration_ms,explicit,popularity,preview_url,in_playlist_ids
1ejEfq1ijp4tpbWzBLEFW2,Dark Solitaire,Northlane,Obsidian,294800,False,35,https://p.scdn.co/mp3-preview/23df007ee2a24dfa723e56cda8b1a4314935dbca?cid=2d41cd0ab78d4fc180a3b32d56acd648,0g1J8EfY6rzP9FQSi1dwWL
7ARO217bAYF35KapJKCwN0,Bed of Nails - 25th Anniversary Mix,Circle of Dust,Circle of Dust (25th Anniversary Edition) [Deluxe Edition],227044,False,22,https://p.scdn.co/mp3-preview/8920a4ef4caf08dbe690924333bacf48959331c7?cid=2d41cd0ab78d4fc180a3b32d56acd648,0g1J8EfY6rzP9FQSi1dwWL
5EsWEeTmpJ63pcEkoVh9rd,FBX,Volumes,Happier?,151453,False,44,https://p.scdn.co/mp3-preview/3015bdac8f33e7366592132cb6103b68b1c66ec7?cid=2d41cd0ab78d4fc180a3b32d56acd648,0g1J8EfY6rzP9FQSi1dwWL
55EpYJEZlZdK5aQTWDPfMi,Spookshow Baby - Black Leather Catsuit Mix,Rob Zombie,American Made Music To Strip By,275373,False,27,https://p.scdn.co/mp3-preview/d8c51dd9edcfc874181462f3a8f0f7b1f709b3cc?cid=2d41cd0ab78d4fc180a3b32d56acd648,0g1J8EfY6rzP9FQSi1dwWL
0OhRXqhtYLK2Ak7Sw3xPu7,The Ballad Of Resurrection Joe - Ilsa She-Wolf Of Hollywood Mix,Rob Zombie,American Made Music To Strip By,338400,True,21,https://p.scdn.co/mp3-preview/9c531c98f1b1ba612e43de765ba6fb25290a45d0?cid=2d41cd0ab78d4fc180a3b32d56acd648,0g1J8EfY6rzP9FQSi1dwWL
0P1oG1E0YiXlb3mYcYvXIj,Demoralize - 25th Anniversary Mix,Circle of Dust,Circle of Dust (25th Anniversary Edition) [Deluxe Edition],252675,False,10,https://p.scdn.co/mp3-preview/9ee1c16a97fdfa3d5568d20b86ade07a9a4a9f03?cid=2d41cd0ab78d4fc180a3b32d56acd648,0g1J8EfY6rzP9FQSi1dwWL
3Ni7aWmuevxcgFZIP9Sy7V,Nothing Sacred - Sebastian Komor Remix,Circle of Dust; Sebastian Komor,Nothing Sacred (Sebastian Komor Remix),271304,False,28,https://p.scdn.co/mp3-preview/2cf6788f12147d4a8ea5829138218c938a96f618?cid=2d41cd0ab78d4fc180a3b32d56acd648,0g1J8EfY6rzP9FQSi1dwWL
35yV3T4XNbex5kaeS1Bt3s,re_Engage,Circle of Dust,Machines of Our Disgrace (Deluxe Edition),80139,False,15,https://p.scdn.co/mp3-preview/d66420198322f2bafa53a173e13eaaddf9316b61?cid=2d41cd0ab78d4fc180a3b32d56acd648,0g1J8EfY6rzP9FQSi1dwWL
2S5Fp4Hq05XwIXa3V6ZnYG,re_Engage - Instrumental,Circle of Dust,Machines of Our Disgrace (Deluxe Edition),77481,False,6,https://p.scdn.co/mp3-preview/cfafe8a8564c14b35bd19753bdb430a7e8559eff?cid=2d41cd0ab78d4fc180a3b32d56acd648,0g1J8EfY6rzP9FQSi1dwWL
7lnbyxdbULxlutBG4hRyjh,Neurachem - Instrumental,Circle of Dust,Machines of Our Disgrace (Deluxe Edition),284518,False,12,https://p.scdn.co/mp3-preview/2f37bc72ae9fdca5f6676ec9d6f693d3dc977802?cid=2d41cd0ab78d4fc180a3b32d56acd648,0g1J8EfY6rzP9FQSi1dwWL
2n6Q6yi1nUrcwUiClWJPZd,You Are Fragile,Circle of Dust,Disengage (Remastered) [Deluxe Edition],199211,False,5,https://p.scdn.co/mp3-preview/0e70c008dba6364100b59646f7180e6424c32670?cid=2d41cd0ab78d4fc180a3b32d56acd648,0g1J8EfY6rzP9FQSi1dwWL
5Ue1jTxQYPSdzMqPXU12z0,Diesel,Argyle Park,Misguided (Remastered) [Deluxe Edition],62160,False,4,https://p.scdn.co/mp3-preview/351a112b288f271cbc9ba2fb7f72e2c62e9c90d2?cid=2d41cd0ab78d4fc180a3b32d56acd648,0g1J8EfY6rzP9FQSi1dwWL
0pzUHUohmnirLlRRg23o6N,og,Argyle Park,Misguided (Remastered) [Deluxe Edition],71916,False,2,https://p.scdn.co/mp3-preview/6e9a965cd077fbad7914ddeccafea60e0047ace1?cid=2d41cd0ab78d4fc180a3b32d56acd648,0g1J8EfY6rzP9FQSi1dwWL
77M2pu8HYTS8CZ3MIau7UG,Into You (Hurt),Volumes,Happier?,253373,False,29,https://p.scdn.co/mp3-preview/9beee48730f664fd9a05902eade2bb5f4eb7ec69?cid=2d41cd0ab78d4fc180a3b32d56acd648,0g1J8EfY6rzP9FQSi1dwWL
7n3bkXLjXeCjpuHZLAZsBt,Freak On a Leash - Freakin' Bitch Mix,Korn,Freak on a Leash - EP,241800,False,26,https://p.scdn.co/mp3-preview/965cd06ad390517702a6afe4adedd1c8b44a614e?cid=2d41cd0ab78d4fc180a3b32d56acd648,0g1J8EfY6rzP9FQSi1dwWL
3DtgDkdwKYTyY2Ak0xmDHL,Falling Away from Me,Kadinja; Malyka JOHANY,DNA,251893,True,16,https://p.scdn.co/mp3-preview/039413ec552695443c25a19b41a9031fac74afac?cid=2d41cd0ab78d4fc180a3b32d56acd648,0g1J8EfY6rzP9FQSi1dwWL
3pzEAJF9mendekzqvsCW16,Glitch Theory,Profiler,Glitch Theory,189000,False,30,https://p.scdn.co/mp3-preview/2f9f3ec720f3f2d6730c31d9ed25ba551e4a22a8?cid=2d41cd0ab78d4fc180a3b32d56acd648,0g1J8EfY6rzP9FQSi1dwWL
